F,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13
0.5,230,216,216,215,210,213,206,208,213,214,209,206,214
1,320,313,316,308,309,302,304,301,303,303,300,299,305
1.5,418,406,399,400,400,402,399,389,396,398,396,395,388
2,456,454,476,477,474,468,471,473,468,463,472,469,469
2.5,551,546,547,546,550,548,547,548,544,548,549,547,547
3,622,615,612,614,614,614,614,613,615,611,611,610,610
3.5,662,657,684,684,685,682,680,683,685,684,680,681,682
4,748,746,749,749,748,746,747,744,745,745,743,743,743
4.5,816,810,812,810,813,810,809,810,809,809,810,810,805
5,853,871,869,873,870,868,867,868,871,869,866,867,866
5.5,929,927,930,931,931,930,928,930,932,930,923,927,925
6,983,982,980,983,984,981,983,983,985,983,979,978,979
